departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
83,6002,4888,155,2880,OO,20304,11433,DTW,11066,CMH,6,638,2019,10
57,8550,7191,366,3269,AA,19805,11057,CLT,14122,PIT,6,694,2018,8
16,1104,621,166,561,OO,20304,11267,DAY,11433,DTW,6,631,2018,8
50,7000,5011,280,2715,AA,19805,15919,XNA,11298,DFW,6,655,2019,2
7,1253,1222,1491,1576,UA,19977,10821,BWI,11292,DEN,6,888,2018,2
43,387,136,59,1355,H6,20336,10754,BRW,10396,ATK,4,416,2019,1
34,9648,9174,3635,0,AF,19532,10920,CDG,12478,JFK,6,627,2018,10
9,450,401,812,1249,MQ,20398,11193,CVG,11298,DFW,6,675,2018,2
1,158,110,639,90,DL,19790,11292,DEN,15376,TUS,6,656,2018,4
13,1300,1027,405,959,B6,20409,10154,ACK,11278,DCA,6,678,2018,8
1,168,165,632,89,SY,20422,10590,IFP,11292,DEN,6,614,2018,7
60,10248,7590,675,5472,AA,19805,13495,MSY,13303,MIA,6,614,2019,9
42,2940,2185,177,1665,YX,20452,12339,IND,13930,ORD,6,677,2018,5
6,456,285,422,364,OO,20304,14570,RNO,14869,SLC,6,638,2018,5
2,38,38,147,66,8E,20331,13873,OME,15478,UNK,4,405,2018,2
24,0,0,72,707,FX,20107,12173,HNL,13034,LNY,4,416,2019,10
30,3300,2806,989,3650,DL,19790,14869,SLC,11298,DFW,6,608,2018,4
87,4350,3414,632,9379,ZW,20046,10434,AVP,13930,ORD,6,629,2018,12
7,350,299,436,465,OO,20304,13930,ORD,16271,YYZ,6,629,2018,4
4,0,0,185,131,FX,20107,13485,MSN,10685,BMI,6,622,2018,5
101,5050,4172,55,2111,PT,20427,10135,ABE,14100,PHL,6,675,2019,4
19,570,408,289,976,LF,21635,12889,LAS,14689,SBA,6,674,2018,12
3,210,134,566,286,OO,20304,14696,SBN,10397,ATL,6,631,2018,12
50,3204,2406,708,4521,MQ,20398,14783,SGF,11057,CLT,6,631,2018,2
20,3320,2548,680,1983,UA,19977,13487,MSP,11292,DEN,6,614,2019,12
1,9,2,82,30,4W,20323,14559,RMP,11630,FAI,1,194,2018,10
1,76,54,612,101,YX,20452,10721,BOS,14492,RDU,6,673,2018,7
54,2700,1709,523,4321,PT,20427,10868,CAE,14100,PHL,6,675,2018,10
1,6,5,42,33,2O,20443,10056,A43,10042,A29,0,40,2018,10
56,10024,9377,1620,10984,UA,19977,11292,DEN,12953,LGA,6,888,2018,6
9,1494,1408,646,923,UA,19977,14492,RDU,13930,ORD,6,614,2019,6
7,1162,1115,1608,1471,UA,19977,11618,EWR,14843,SJU,6,614,2018,1
