departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
2,16,4,51,44,H6,20336,15709,WAA,12822,KTS,1,194,2016,1
1,6,1,47,36,K3,20383,15741,WFB,12252,HYG,0,40,2017,9
31,1550,839,444,2388,OO,20304,11027,CKB,13930,ORD,6,629,2018,5
55,7865,7038,423,3412,WN,19393,13244,MEM,11259,DAL,6,612,2017,9
13,1938,995,1969,3727,AS,19930,10693,BNA,14771,SFO,6,694,2019,2
9,1287,1011,2119,2532,WN,19393,11032,CUN,12892,LAX,6,612,2018,10
1,254,204,1235,159,5Y,20007,16091,YIP,13605,NAS,6,626,2016,12
19,1330,1090,909,2186,OO,20304,14893,SMF,11292,DEN,6,631,2019,10
2,152,109,362,129,G7,20500,11066,CMH,14492,RDU,6,638,2018,4
2,286,271,1123,291,WN,19393,11292,DEN,11433,DTW,6,619,2016,11
1,175,87,945,111,WN,19393,12339,IND,14635,RSW,6,838,2019,3
1,50,48,549,96,MQ,20398,11433,DTW,10529,BDL,6,675,2017,12
1,0,0,74,38,7S,20330,13970,OTZ,15785,WLK,0,35,2015,7
15,2490,2010,1754,2948,UA,19977,11292,DEN,10721,BOS,6,614,2019,11
47,7688,6301,600,4187,AA,19805,11057,CLT,14635,RSW,6,614,2019,11
3,546,536,1620,596,UA,19977,11292,DEN,12953,LGA,6,622,2015,7
14,3668,2928,3091,0,WS,20229,16257,YYC,13830,OGG,6,626,2019,4
1,6,0,0,16,GV,20455,10917,CDB,10917,CDB,0,35,2018,8
29,4959,1761,3545,13273,AA,19805,12972,LHR,14100,PHL,6,622,2015,9
2,240,132,1017,0,TA,19574,13303,MIA,12010,GUA,6,698,2018,3
30,2100,1771,784,3360,OO,20304,14689,SBA,14057,PDX,6,631,2016,2
1,143,13,1975,236,WN,19393,14057,PDX,11193,CVG,6,612,2018,11
62,3100,2474,443,4663,EV,20366,16163,YQB,11618,EWR,6,675,2015,8
2,0,0,179,69,FX,20107,12917,LCK,12339,IND,6,622,2017,9
10,500,399,241,488,OO,20304,10792,BUF,11433,DTW,6,629,2018,2
34,5100,4798,1874,8884,UA,19977,12266,IAH,14747,SEA,6,694,2016,12
